Titel,Synonyms,Brand Names
"Timolol","Timolol maleate; Timololum [INN-Latin]","Apo-Timol; Apo-Timop; Aquanil; Betim; Betimol; Blocadren; Istalol; Novo-Timol; Nu-Timolol; Phoxal-timolol; Proflax; Temserin; Tenopt; Tim-AK; Timacar; Timacor; Timopic; Timoptic; Timoptic in Ocudose; Timoptic OcuDose; Timoptic-XE; Timoptol"
"Treprostinil","treprostinil","Remodulin; Viveta"
"Colestipol","Colestipolum [INN-Latin]","Cholestabyl; Colestid"
"Trihexyphenidyl","Trihexifenidilo [INN-Spanish]; Trihexylphenidyl; Trihexylphenidyle; Trihexylphenizyl; Trihexyphenidyl HCl; Trihexyphenidyle; Trihexyphenidyle [INN-French]; Trihexyphenidylum [INN-Latin]; Triphenidyl","Apo-Trihex; Artane; Artane Sequels; Benzhexol; Benzhexolum; Parkinane Retard; PMS Trihexyphenidyl; Tremin; Trihexane; Trihexy"
"Palonosetron","palonosetron","Aloxi; Onicit"
"Dydrogesterone","10alpha-Isopregnenone; Didrogesterone [DCIT]; Dydrogesterona [INN-Spanish]; Dydrogesteronum [INN-Latin]; Hydrogesterone; Hydrogestrone; Isopregnenone","Diphaston; Dufaston; Duphaston; Duvaron; Gestatron; Gynorest; Prodel; Retrone; Terolut"
"Mexiletine","Mexiletina [INN-Spanish]; Mexiletine HCL; Mexiletinum [INN-Latin]; Mexilitine","Mexitil"
"Dexrazoxane","Desrazoxane; Dexrazoxano [INN-Spanish]; Dexrazoxanum [INN-Latin]; Dextrorazoxane; Icrf-187; Razoxana [INN-Spanish]; Razoxanum [INN-Latin]","Cardioxane; Dyzoxane; Eucardion; Razoxane; Razoxin; Tepirone; Troxozone; Zinecard"
"Amlodipine","Amlodipine Benzenesulfonate; Amlodipine Besilate; Amlodipine Besylate; Amlodipine Free Base; Amlodipino [Spanish]; Amlodipinum [Latin]","Amlocard; Amlodis; Amvaz; Coroval; Lipinox; Lotrel; Norvasc"
"Tacrine","Tetrahydroaminacrine; Tetrahydroaminoacridine; Tetrahydroaminocrin; Tetrahydroaminocrine; THA","Cognex; Romotal"
"Oxyphencyclimine","Oxifencicliminum [INN-Spanish]; Oxiphencycliminum; Oxyphencyclimine Hydrochloride; Oxyphencycliminum [INN-Latin]","Antulcus; Caridan; Cycmin; Daricol; Daricon; Dominil; Enterex; Gastrix; Manir; Naridan; Oximin; Setrol; Spazamin; Syklifen; Ulcociclinina; Vio-Thene; W-T Anticholinergic; Zamanil"
"Triamterene","Triamteren","Ademin; Ademine; Diren; Ditak; Diucelpin; Diurene; Dyazide; Dyren; Dyrenium; Dytac; Jatropur; Maxzide; Maxzide-25; Noridil; Noridyl; Pterofen; Pterophene; Taturil; Teriam; Teridin; Tri-Span; Triampur; Triamteril; Triamteril Complex; Trispan; Triteren; Urocaudal"
"Valrubicin","Antibiotic Ad 32","Valstar; Valstar Preservative Free"
"Procyclidine","Prociclidina [INN-Spanish]; Procyclidinum [INN-Latin]","Arpicolin; Elorine; Kemadrin; Kemadrine; Lergine; Metanin; Osnervan; Procyclid; Procyklidin; Prosyklidin; Spamol; Triciclidina; Triciloid; Tricoloid; Tricyclamol; Vagosin"
"Phenylephrine","Fenilefrina [INN-Spanish]; L-Phenylephedrine; L-Phenylephrine; M-Methylaminoethanolphenol; M-Oxedrine; Metaoxedrin; Metaoxedrine; Metaoxedrinum; Metasynephrine; Phenylephrinum [INN-Latin]","Adrianol; AK-Dilate; AK-Nefrin; Alcon Efrin; Alconefrin Nasal Drops 12; Alconefrin Nasal Drops 25; Alconefrin Nasal Drops 50; Alconefrin Nasal Spray 25; Biomydrin; Dilatair; Dimetane; Dionephrine; Doktors; Duration; I-Phrine; Isophrim; Isophrin; Isopto Frin; M-Sympathol; M-Sympatol; M-Synephrine; Mesaton; Mesatone; Mesatonum; Metasympatol; Metsatonum; Mezaton; Minims Phenylephrine; Mydfrin; Neo-Synephrine; Neo-Synephrine Nasal Drops; Neo-Synephrine Nasal Jelly; Neo-Synephrine Nasal Spray; Neofrin; Neophryn; Neosynephrine; Nostril; Nostril Spray Pump; Nostril Spray Pump Mild; Ocu-Phrin Sterile Eye Drops; Ocugestrin; Phenoptic; Prefrin; Prefrin Liquifilm; Pyracort D; Relief Eye Drops for Red Eyes; Rhinall; Spersaphrine; Vicks Sinex; Visadron"
"Carbimazole","Athyromazole; Carbethoxymethimazole; Carbimazol; Carbimazol [INN-Spanish, French]; Carbimazolum [INN-Latin]; Carbinazole","Atirozidina; Basolest; Carbimazol Spofa; Carbotiroid; CG1; Mertiran; Neo-Mercazole; Neo-Thyreostat; Neo-Tireol; Neomercazole; Tyrazol"
"Digoxin","Digitalis Glycoside","Cardoxin; Cogoxin; Cordioxil; Davoxin; Digacin; Digitekt; Digoxin Pediatric; Dilanacin; Dixina; Dokim; Dynamos; Eudigox; Homolle's Digitalin; Lanacordin; Lanacrist; Lanicor; Lanoxicaps; Lanoxin; Lenoxicaps; Lenoxin; Longdigox; Neo-Lanicor; Neodioxanin; Rougoxin; SK-Digoxin; Stillacor; Vanoxin"
"Sulpiride","Levosulpirida [INN-Spanish]; Levosulpiride; Levosulpiride [INN]; Levosulpiridum [INN-Latin]; Sulpirid; Sulpirida [INN-Spanish]; Sulpiridum [INN-Latin]; Sulpyrid","Abilit; Aiglonyl; Alimoral; Calmoflorine; Championyl; Coolspan; Darleton; Desmenat; Dobren; Dogmatil; Dogmatyl; Dolmatil; Dresent; Eclorion; Eglonil; Eglonyl; Enimon; Equilid; Eusulpid; Fardalan; Fidelan; Guastil; Isnamide; Kylistro; Levobren; Levopraid; Lisopiride; Mariastel; Meresa; Miradol; Mirbanil; Misulvan; Neogama; Norestran; Normum; Nufarol; Omiryl; Omperan; Ozoderpin; Psicocen; Pyrikappl; Pyrkappl; Restful; Sernevin; Splotin; Stamonevrol; Sulpitil; Sulpride; Suprium; Sursumid; Synedil; Trilan; Valirem; Zemorcon"
"Ethopropazine","Aethopropropazin; Athapropazine; Athopropazin; Ethapropazine; Ethopromazine; Ethopropazine Hydrochloride; Etopropezina; Fempropazine; Fenpropazina; Isopthazine; Isotazin; Isothazine; Isothazine hydrochloride; Isothiazine; Phenopropazine; Phenoprozine; Prodierazine; Profenamina [INN-Spanish]; Profenamina [Italian]; Profenamine; Profenamine hydrochloride; Profenamine monohydrochloride; Profenaminum [INN-Latin]; Prophenamine; Prophenaminum","Dibutil; Lysivane; Parcidol; Pardidol; Pardisol; Parfezin; Parfezine; Parkin; Parkisol; Parphezein; Parphezin; Parsidan; Parsidol; Parsitan; Parsotil; Prodictazin; Rochipel; Rocipel; Rodipal; Tomil"
"Nimodipine","Nimodipino [INN-Spanish]; Nimodipinum [INN-Latin]","Nimotop; Periplum"
"Beclomethasone","Beclometasona [INN-Spanish]; Beclometasone; Beclometasonum [INN-Latin]","Aerobec; Aldecin; Anceron; Andion; Beclacin; Becloforte; Beclomet; Beclometasondipropionat Mikron; Beclorhinol; Becloval; Beclovent; Becodisks; Beconase; Beconase AQ; Beconasol; Becotide; Clenil-A; Entyderma; Inalone; Korbutone; Propaderm; QVAR; QVAR 80; Rino-Clenil; Sanasthmax; Sanasthmyl; Vancenase; Vancenase AQ; Vanceril; Vanceril Double Strength; Viarex; Viarox"
"Carisoprodol","Carisoprodate; Carisoprodatum; Isomeprobamate; Isoprotane; Isoprothane","Apesan; Artifar; Arusal; Atonalyt; Caridolin; Carisoma; Chinchen; Fibrosona; Flexagilt; Flexagit; Flexal; Flexartal; Flexidon; Listaflex; Meprodat; Mioartrina; Miolisodal; Mioratrina; Mioril; Muslax; Neotica; Nospasm; Relasom; Sanoma; Scutamil-C; Skutamil; Soma; Somanil"
"Progesterone","Corpus Luteum Hormone; Progesterona [INN-Spanish]; Progesteronum; Progesteronum [INN-Latin]","Agolutin; Amen; Bio-Luton; Colprosterone; Corlutin; Corlutina; Corluvite; Corporin; Crinone; Curretab; Cyclogest; Cyclogesterin; Cycrin; Delalutin; Flavolutan; Fologenon; Gesterol; Gesterol 100; Gesterol 50; Gestiron; Gestone; Gestormone; Gestron; Glanducorpin; Gynlutin; Gynoluton; Gynolutone; Hormoflaveine; Hormoluton; Lingusorbs; Lipo-Lutin; Lucorteum; Lucorteum Sol; Luteal Hormone; Luteinique; Luteocrin Normale; Luteodyn; Luteogan; Luteohormone; Luteol; Luteopur; Luteosan; Luteostab; Luteovis; Lutex; Lutidon; Lutin; Lutociclina; Lutocuclin M; Lutocyclin; Lutocyclin M; Lutocylin; Lutocylol; Lutoform; Lutogyl; Lutren; Lutromone; Membrettes; Methylpregnone; Nalutron; Percutacrine; Percutacrine Luteinique; Piaponon; Pranone; Pregnenedione; Primolut; Prochieve; Progekan; Progestasert; Progesterol; Progestin; Progestogel; Progestol; Progeston; Progestone; Progestosol; Progestron; Progestronol; Projestaject; Prolets; Prolidon; Prolutin; Proluton; Prolutone; Prometrium; Protormone; Syngesterone; Syngestrets; Syntolutan; Thiuram E; Thiuranide; Utrogestan"
"Phenylpropanolamine","(+-)-Phenylpropanolamine; (+/-)-Norephedrin; PPA","Acutrim; Ami-Tex; Codimal; Conex; Contuss; Despec; Dexatrim; Dura-Vent; Entex; Gentab; Guaipax; Myminic; Naldecon; Nolex; Partuss; Phenoxine; Phenyldrine; Phenylfenesin; Propagest; Rhindecon; Rhymed; Snaplets; Triaminic; ULR; Vanex"
"Sorafenib","sorafenib; Sorafenib tosylate","Nexavar"
"Zoledronate","ZOL; Zoledronic acid","Aclasta; Reclast ; Zometa; Zometa Concentrate"
"Griseofulvin","Griseofulvina [INN-Spanish]; Griseofulvine [INN-French]; Griseofulvinum [INN-Latin]","Amudane; Biogrisin-fp; Curling factor; Delmofulvina; Fulcin; Fulcine; Fulvican grisactin; Fulvicin; Fulvicin P/G; Fulvicin U/F; Fulvicin-P/G; Fulvicin-U/F; Fulvina; Fulvinil; Fulvistatin; Fungivin; Greosin; Gresfeed; Gricin; Grifulin; Grifulvin; Grifulvin V; Gris-PEG; Grisactin; Grisactin Ultra; Griscofulvin; Grisefuline; Griseo; Griseofulvin forte; Griseofulvin-forte; Griseomix; Grisetin; Grisofulvin; Grisovin; Grisovin FP; Grizeofulvin; Grysio; Guservin; Lamoryl; Likuden; Likunden; Murfulvin; Neo-Fulcin; Neocid; Poncyl; Spirofulvin; Sporostatin; Sporostatin xan; Xuanjing"
"Nisoldipine","Nisoldipin; Nisoldipino [INN-Spanish]; Nisoldipinum [INN-Latin]","Baymycard; Nisocor; Sular; Syscor; Zadipina"
"Eszopiclone","Esopiclone","Estorra; Lunesta"
"Ceruletide",,
"Alprazolam","alprazolam; TUS-1","Alplax; Alpronax; Alviz; Bestrol; Cassadan; Constan; D 65MT; Esparon; Frontal; Intensol; Niravam; Restyl; Solanax; Tafil; Tranax; Trankimazin; Tranquinal; Xanax; Xanax XR; Xanor"
"Dexbrompheniramine","D-Brompheniramine; Parabromdylamine; Parabromodylamine","Ilvin"
"Gentian Violet","Crystal Violet","Adergon; Aizen Crystal Violet; Aizen Crystal Violet Extra Pure; Aniline Violet; Aniline Violet pyoktanine; Atmonil; Avermin; Axuris; Badil; Basic Violet 3; Basic Violet BN; Basic Violet-3; Bismuth Violet; Brilliant Violet 5B; C.I. Basic Violet 3; Calcozine Violet 6BN; Calcozine Violet C; Crystal Violet 10B; Crystal Violet 5BO; Crystal Violet 6B; Crystal Violet 6BO; Crystal Violet AO; Crystal Violet AON; Crystal Violet base; Crystal Violet BP; Crystal Violet BPC; Crystal Violet chloride; Crystal Violet chloride salt; Crystal Violet Extra Pure; Crystal Violet Extra Pure APN; Crystal Violet Extra Pure APNX; Crystal Violet FN; crystal violet for microscopy; Crystal Violet HL2; Crystal Violet O; Crystal Violet Pure DSC; Crystal Violet Pure DSC Brilliant; Crystal Violet SS; Crystal Violet Technical; Crystal Violet USP; Genapax; Gentersal; gentian violet gr; Gentiaverm; Genticid; Gentioletten; gention violet alchoholic staining solution; GV-Eleven; Gvs; Hecto Violet R; Hectograph Violet SR; Hexamethyl Violet; Hexamethylpararosaniline chloride; Hidaco Brilliant Crystal Violet; Hidaco crystal Violet; Meroxyl-Wander; Meroxylan-Wander; Methyl violet; Methyl Violet 10B; Methyl Violet 10BD; Methyl Violet 10BK; Methyl Violet 10BN; Methyl Violet 10BNS; Methyl Violet 10BO; Methyl Violet 5BNO; Methyl Violet 5BO; Methyl Violet 6B; Methylrosaniline chloride; methylrosanilinium chloride; Mitsui Crystal Violet; Oxiuran; Oxycolor; Oxyozyl; Paper Blue R; Plastoresin Violet 5BO; Pyoktanin; Vermicid; Vianin; Viocid; Violet 5BO; Violet 6BN; Violet CP; Violet XXIII"
"Ardeparin",,"Normiflo"
"Loxapine",,"Cloxazepine; Dibenzacepin; Dibenzoazepine; Hydrofluoride 3170; Lossapina [Dcit]; Loxapac; Loxapin; Loxapina [INN-Spanish]; Loxapine [Usan:Ban:Inn]; Loxapinum [INN-Latin]; Loxepine; Loxitane C; Loxitane Im; Oxilapine"
"Remoxipride","Remoxiprida [INN-Spanish]; Remoxipride [Usan:Ban:Inn]; Remoxipridum [INN-Latin]; Romoxipride",
"Mupirocin","MRC; mupirocin; Mupirocine; Pseudomonic acid","Bactoderm; Bactroban; Bactroban Nasal; Centany; Turixin"
"Carbachol",,"Carbachol chloride; Carbachol hydrochloride; Carbachol USP27; Carbacholin; Carbacholine; Carbacholine chloride; Carbacolina; Carbaminocholine chloride; Carbaminoylcholine chloride; Carbamiotin; Carbamoylcholine chloride; Carbamoylcholine-hydrochloride; Carbamylcholine chloride; Carbastat; Carbastat intraocular; Carbochol; Carbocholin; Carbocholine; Carboptic; Carbyl; Carcholin; CB; Choline carbamate chloride; Choline chloride carbamate; Choline chloride, carbamoyl-; Choline chlorine carbamate; Choline, chloride, carbamate; Coletyl; Doryl; Isopto Carbachol; Jestryl; Karbachol; Karbamoylcholin chlorid; Lentin; Lentine; Miostat; Mistura C; Moryl; P. V. Carbachol; Rilentol; Vasoperif"
"Rosiglitazone","Rosigliazone maleate; rosiglitazone; Rosiglitazone maleate","Avandia; Rosiglizole"
"Pramipexole","Furfuryl Acetate; Pramipexol; Pramipexol [Spanish]; pramipexole; Pramipexole 2HCl Monohydrate; Pramipexole hydrochloride; Pramipexolum [Latin]","Mirapex"
"Acetohexamide","Acetohexamid","Cyclamide; Dimelin; Dimelor; Dymelor; Gamadiabet; Hypoglicil; Metaglucina; Minoral; Ordimel; Tsiklamid"
"Ampicillin","Aminobenzylpenicillin; Ampicilina [INN-Spanish]; Ampicillin [Usan:Ban:Inn:Jan]; Ampicillin Acid; Ampicillin Anhydrate; Ampicillin Anhydrous; Ampicillin Base; Ampicillin Sodium; Ampicillin Trihydrate; Ampicillina [Dcit]; Ampicilline; Ampicilline [INN-French]; Ampicillinum [INN-Latin]; Anhydrous Ampicillin; Bayer 5427; D-Ampicillin","AB-PC; Ab-Pc Sol; Acillin; Adobacillin; Alpen; Amblosin; Amcill; Amfipen; Amfipen V; Amipenix S; Ampen; Ampi; Ampi-Bol; Ampi-Co; Ampi-Tab; Ampichel; Ampicil; Ampicillin A; Ampicin; Ampifarm; Ampikel; Ampimed; Ampipenin; Ampipenin, Nt3; Ampiscel; Ampisyn; Ampivax; Ampivet; Amplacilina; Amplin; Amplipenyl; Amplisom; Amplital; Ampy-Penyl; Austrapen; Binotal; Bonapicillin; Britacil; BRL; Campicillin; Cimex; Copharcilin; D-Cillin; Delcillin; Deripen; Divercillin; Doktacillin; Duphacillin; Geocillin; Grampenil; Guicitrina; Guicitrine; Lifeampil; Morepen; Norobrittin; Novo-Ampicillin; Nuvapen; Olin Kid; Omnipen; Omnipen-N; Orbicilina; Pen A; Pen a Oral; Pen Ampil; Penbristol; Penbritin; Penbritin Paediatric; Penbritin Syrup; Penbritin-S; Penbrock; Penicline; Penimic; Pensyn; Pentrex; Pentrexl; Pentrexyl; Pfizerpen A; Pfizerpen-A; Polycillin; Polycillin-N; Ponecil; Princillin; Principen; Principen '125'; Principen '250'; Principen '500'; Qidamp; Racenacillin; Ro-Ampen; Rosampline; Roscillin; Semicillin; Semicillin R; Servicillin; Sk-Ampicillin; Spectrobid; Sumipanto; Supen; Synpenin; Texcillin; Tokiocillin; Tolomol; Totacillin; Totacillin-N; Totalciclina; Totapen; Trifacilina; Ultrabion; Ultrabron; Vampen; Viccillin; Viccillin S; Wypicil"
"Metocurine Iodide","(+)-O,O'-Dimethylchondrocurarine Di-iodide; Dimethyl Tubocurarine Iodide; Dimethyltubocurarine Iodide; Dimetiltubocurarinio, ioduro de; Metocurini Iodidum; Metokuriinijodidi; Metokurinjodid; Trimethyltubocurarine Iodide","Metubine; Metubine iodide; Mutubine Iodide"
"Penicillin V","Fenossimetilpenicillina [Dcit]; Fenoximetilpenicilina [INN-Spanish]; Penicillin Phenoxymethyl; Penicillin V Potassium; Phenoximethylpenicillinum; Phenoxymethyl Penicillin; Phenoxymethylenepenicillinic Acid; Phenoxymethylpenicillin Potassium; Phenoxymethylpenicillinic Acid; Phenoxymethylpenicillinic Acid Potassium Salt","Acipen V; Apopen; Beepen-Vk; Beromycin; Betapen-Vk; Calcipen; Compocillin V; Crystapen V; Distaquaine V; Eskacillian V; Eskacillin V; Fenacilin; Fenospen; Fenoxypen; Ledercillin Vk; Meropenin; Oracillin; Oratren; Ospen; Pen-Oral; Pen-V; Pen-Vee; Pen-Vee K; Penapar-Vk; Penicillin Vk; Penicillin-Vk; Pfizerpen Vk; Phenocillin; Phenomycilline; Phenopenicillin; Robicillin; Rocilin; Stabicillin; Uticillin Vk; V-Cil; V-Cillin; V-Cillin K; V-Cylina; V-Cyline; V-Tablopen; Vebecillin; Veetids; Veetids '125'; Veetids '250'; Veetids '500'"
"Secobarbital","(+/-)-Secobarbital; Secobarbital Sodium; Secobarbitale [DCIT]; Secobarbitalum [INN-Latin]; Sodium quinalbarbitone; Sodium Secobarbital","Barbosec; Bipanal; Bipinal sodium; Evronal; Evronal Sodium; Evrronal; Hypotrol; Hyptran; Imesonal; Immenoctal; Immenox; Meballymal; Meballymal sodium; Meballymalum; Novosecobarb; Pramil; Quinalbarbital; Quinalbarbitone; Quinalbarbitone sodium; Quinalspan; Sebar; Seco 8; Secobarbitone; Seconal; Sedutain; Seotal; Somosal; Synate; Trisomnin"
"Miglustat",,"Miglustat, Hydrochloride; Zavesca"
"Promazine","Chlorpromazine Hcl; CPZ; Phenothiazine; Promazin; Promazina; Promazine Hcl","AB; Aminazin; Aminazine; Ampazine; Ampliactil; Amplictil; Berophen; Chlor-Promanyl; Chlordelazin; Chlorderazin; Chlorpromados; Chlorpromazine Hcl Intensol; Chlropromados; Contomin; Elmarin; Esmind; Esparin; Fenactil; Fenaktyl; Fraction; Largactil; Largactilothiazine; Largactyl; Liranol; Megaphen; Neo-Hibernex; Novomazina; Phenactyl; Prazin; Prazine; Proma; Promactil; Promapar; Promazil; Promwill; Propaphenin; Protactyl; Prozil; Psychozine; Romtiazin; Sanopron; Sinophenin; Sonazine; Sparine; Thorazine; Torazina; Verophen; Vesprin; Wintermin"
"Spironolactone",,"Abbolactone; Acelat; Aldace; Aldactazide; Aldactide; Aldactone; Aldactone A; Alderon; Aldopur; Almatol; Altex; Aquareduct; Deverol; Diatensec; Dira; Duraspiron; Espironolactona [INN-Spanish]; Euteberol; Lacalmin; Lacdene; Laractone; Melarcon; Nefurofan; Osyrol; Sagisal; Sincomen; SNL; Spiresis; Spiretic; Spiridon; Spiro-Tablinen; Spiroctan; Spiroctanie; Spiroderm; Spirolactone; Spirolakton; Spirolang; Spirolone; Spirone; Spironocompren; Spironolactone [BAN:INN:JAN]; Spironolactone A; Spironolactonum [INN-Latin]; Spironolattone [DCIT]; Sprioderm; Supra-puren; Suracton; Uractone; Urusonin; Verospiron; Verospirone; Verospirone Opianin; Xenalon"
"Methylphenidate","d-methylphenidate HCl; Methyl phenidyl acetate; methylphenidate; Methylphenidate HCl; Methylphenidate hydrochloride; Methylphenidatum [INN-Latin]; Methylphenidylacetate hydrochloride; Metilfenidat hydrochloride; Metilfenidato [INN-Spanish]; Metilfenidato [Italian]; Phenidylate","4311/B Ciba; Calocain; Centedein; Centedrin; Centedrine; Centredin; Concerta; Daytrana; Focalin; Focalin XR; Meridil; Metadate; Metadate CD; Metadate ER; Methylin; Methylin ER; Methylofenidan; Methylphen; Methylphenidan; Methypatch; Plimasine; PMS-Methylphenidate; Riphenidate; Ritalin; Ritalin hydrochloride; Ritalin LA; Ritalin SR; Ritalin-SR; Ritaline; Ritcher Works"
"Methocarbamol",,"AHR 85; Avetil; Delaxin; Etroflex; Forbaxin; Glycerylguaiacolate carbamate; Glycerylguajacol-Carbamat; Guaiacol glyceryl ether carbamate; Guaiphenesin carbamate; Guaiphenesine carbamate; Lumirelax; Methocal; Metocarbamol; Metocarbamolo; Metofenia; Metofenina; Miolaxene; Miorilas; Miowas; Myolaxene; Neuraxin; Parabaxin; Perilax; Reflexyn; Relestrid; Robamol; Robaxan; Robaxin; Robaxine; Robaxon; Robinax; Romethocarb; Surquetil; Traumacut; Tresortil"
"Hyoscyamine","Hyocyamine; L-Atropine; L-Hyopscyamine; L-Hyoscamine; L-Hyoscyamine; L-Tropine Tropate","Anaspaz; Buwecon; Cystospaz; Daturine; Donnamar; Duboisine; Duretter; Egacene; Egazil; Gastrosed; Levbid; Levsin; Levsinex; Neoquess; NuLev; OIN; Peptard; Scopolia Extract; Symax"
"Zolpidem","Zolpidem tartrate; Zolpidemum [Latin]","Ambien; Ambien CR; Ivadal; Lorex; Niotal; Stilnoct; Stilnox"
"Famciclovir","Famciclovirum [INN-Latin]; FCV","Famvir"
"Triprolidine",,"Actidil; Myidyl; Triprolidine HCL; Triprolidine Hydrochloride; Venen (TN)"
"Streptozocin",,"Streptozocin [Usan:Inn]; Streptozocine [INN-French]; Streptozocinium [Latin]; Streptozocinum [INN-Latin]; Streptozoticin; STREPTOZOTOCIN; STRZ; STZ; Zanosar"
"Carboprost Tromethamine",,"Carboprost; Hemabate; Tham"
"Cefpiramide","SM-1652","Cefpiramide [USAN:INN]; Cefpiramide Sodium; Cefpiramido [INN-Spanish]; Cefpiramidum [INN-Latin]"
"Lindane",,"Aalindan; Aficide; Agrocide; Agrocide III; Agrocide WP; Ameisenmittel merck; Ameisentod; Aparasin; Aphtiria; Aplidal; Arbitex; Atlas steward; BBH; Ben-Hex; Bentox 10; Benzene hexachloride; beta-BHC; beta-Hexachlorocyclohexane; beta-Lindane; Bexol; Celanex; Chloresene; Codechine; DBH; Detmol-Extrakt; Devoran; Dol Granule; Drilltox-Spezial Aglukon; Entomoxan; Esoderm; Fumite lindane; Gamacid; Gamene; Gamma-BHC dust; Gamma-Col; Gamma-HCH dust; Gammalin; Gammalin 20; Gammasan; Gammaterr; Gammexane; Gexane; HCCH; HCH; Heclotox; Hexa; Hexachloran; Hexachlorane; Hexachlorocyclohexane; Hexatox; Hexaverm; Hexicide; Hexit; Hexyclan; HGI; Hortex; Indane; Isotox; Jacutin; Kokotine; Kwell; Lendine; Lentox; Lidenal; Lindafor; Lindatox; Lindex; Lindosep; Lintox; Linvur; Lorexane; Milbol 49; Mszycol; Murfume grain store smoke; Neo-Scabicidol; New kotol; Nexen FB; Nexit; Nexit-Stark; Nexol-E; Nicochloran; Omnitox; Ovadziak; Owadziak; Pedraczak; Pflanzol; PMS Lindane; Quellada; Sang-&laquo;gamma&raquo;; Scabene; Scabene lotion; Spritz-Rapidin; Spruehpflanzol; Streunex; TAP 85; Thionex; Tri-6; Viton"
"Trifluridine",,"F3DThd; F3T; F3TDR; Fluridine; TFDU; TFT; Trifluoromethyldeoxyuridine; Trifluorothymidine; trifluorothymine deoxyriboside; Trifluridina [INN-Spanish]; Trifluridine [USAN:INN]; Trifluridinum [INN-Latin]; Virophta; Viroptic"
"Prochlorperazine","Chlormeprazine; Chlorperazine; Prochloroperazine; Prochlorpemazine; Prochlorperazin; Prochlorperazine edisylate; Prochlorperazine maleate; Prochlorpromazine; Procloperazine; Proclorperazine","Bayer A 173; Buccastem; Capazine; Combid; Compazine; Compro; Emelent; Emetiral; Eskatrol; Kronocin; Meterazin; Meterazin Maleate; Meterazine; Nipodal; Novamin; Pasotomin; Stemetil; Tementil; Temetid; Vertigon"
"Cyproheptadine",,"Cypoheptadine; Cyproheptadiene; Cyproheptadine Hcl; Dibenzosuberonone/Cyproheptadine; Dronactin; Eiproheptadine; Periactin; Periactine; Periactinol; Peritol"
"Nitric Oxide",,"Amidogen, oxo-; INOmax; Mononitrogen monoxide; Nitric oxide 10% by volume or more; Nitric oxide trimer; Nitrogen monooxide; Nitrogen monoxide; Nitrogen oxide; nitrogen protoxide; Nitrosyl radical; NMO; NO; RCRA waste number P076"
"Bendroflumethiazide","Bendrofluazide; Bendroflumethazide; Bendroflumethiazidum [INN-Latin]; Bendroflumetiazida [INN-Spanish]; Bendrofumethiazide; Benzhydroflumethiazide; Benzydroflumethiazide; Benzylhydroflumethiazide; BHFT","Aprinox; Bentride; Benuron; Benzy-Rodiuran; Benzylrodiuran; Berkozide; Bristuric; Bristuron; Centyl; Corzide; Flumersil; Flumesil; FT 8; Intolex; Livesan; Naigaril; Nateretin; Naturetin; Naturetin-2.5; Naturine; Neo-Naclex; Neo-Rontyl; Niagaril; Nikion; Orsile; Pluryl; Pluryle; Plusuril; Poliuron; Rautrax N; Rauzide; Relan Beta; Repicin; Salural; Salures; Sinesalin; Sodiuretic; Thiazidico; Urlea"
